California        39.37   163.7
Texas             29.36   268.6
Florida           21.73    65.7
New_York          19.33    54.7
Pennsylvania      12.78    46.1
Illinois          12.59    57.9
Ohio              11.69    44.8
Georgia           10.71    59.4
