59, 3673, 3530, 3529, 29, 3533, 3525, 29, 3392, 3553, 
36, 3563, 3567, 3444, 28, 3517, 3517, 33, 3545, 3367, 
34, 3520, 3391, 3540, 25, 3742, 3635, 36, 3897, 3756, 
39, 3391, 3787, 3430, 46, 3417, 3631, 34, 3816, 3399, 
38, 3673, 3754, 3916, 47, 3848, 3947, 54, 3556, 3777, 
35, 7199, 5122, 5590, 52, 3987, 4417, 56, 3711, 3383, 
35, 3531, 3699, 3964, 72, 3687, 3375, 37, 3333, 3530, 
44, 3523, 3930, 3491, 46, 3325, 3722, 34, 3738, 3330, 
40, 3704, 4130, 3911, 42, 3720, 3804, 46, 3651, 3763, 
37, 3721, 3659, 3424, 35, 3432, 3701, 36, 3569, 3401, 
35, 3843, 3617, 3647, 38, 4037, 3551, 55, 3476, 3775, 
36, 3754, 7297, 3762, 51, 4456, 3764, 47, 3555, 3366, 
36, 3737, 3507, 3816, 39, 3801, 3855, 91, 3522, 3652, 
33, 3713, 3632, 3893, 29, 3479, 3458, 30, 3542, 3819, 
33, 3524, 3866, 3466, 31, 3555, 3779, 35, 3505, 3508, 
33, 3797, 3341, 3448, 25, 3610, 3529, 30, 3412, 3640, 
34, 3547, 3517, 3499, 27, 3335, 3482, 26, 3663, 3467, 
31, 3751, 3358, 3408, 24, 6718, 5216, 61, 4042, 3681, 
32, 3492, 3405, 3585, 24, 3395, 3446, 32, 3608, 3576, 
32, 3814, 3505, 3433, 39, 3645, 3487, 28, 3420, 3547, 
31, 3400, 3807, 3440, 22, 3431, 3565, 30, 3589, 3423, 
33, 3549, 3387, 3702, 24, 3568, 3357, 24, 3491, 3532, 
31, 3564, 3476, 3325, 22, 3590, 3543, 25, 3435, 3419, 
33, 5521, 4032, 4134, 41, 4678, 3578, 49, 3994, 3589, 
32, 3610, 3419, 3657, 23, 3563, 3441, 31, 3510, 3534, 
31, 3581, 3577, 3505, 25, 3421, 3818, 32, 3400, 3399, 
32, 3442, 3506, 3552, 23, 3360, 3671, 25, 3519, 3391, 
30, 3758, 3402, 3541, 23, 3654, 3360, 31, 3557, 3705, 
43, 3585, 3956, 3879, 42, 3551, 3385, 31, 3656, 3697, 
32, 5963, 4396, 5000, 44, 4543, 3722, 39, 3517, 3545, 
32, 3569, 3354, 3601, 24, 3431, 3342, 30, 3593, 3461, 
32, 3720, 3548, 3697, 30, 3608, 3732, 31, 3457, 3505, 
32, 3517, 3454, 3794, 28, 3679, 3559, 32, 3770, 3774, 
31, 3585, 3647, 3512, 33, 3414, 3517, 28, 3381, 3507, 
32, 3395, 3632, 3708, 30, 3713, 3339, 34, 3491, 3636, 
33, 5216, 4146, 4705, 45, 4490, 3405, 40, 3991, 3649, 
31, 3400, 3656, 3516, 28, 3308, 3660, 26, 3589, 3366, 
31, 3900, 3464, 3375, 26, 3992, 3447, 46, 3467, 3602, 
32, 3562, 3714, 3475, 29, 3383, 3714, 29, 3685, 3432, 
31, 3603, 3416, 3800, 23, 3807, 3536, 37, 3495, 3578, 
33, 3453, 3881, 3361, 24, 3410, 3860, 26, 3595, 5279, 
44, 3912, 3370, 3515, 28, 3673, 3432, 28, 3483, 3821, 
31, 3411, 3715, 3487, 22, 3321, 3607, 25, 3509, 3357, 
31, 3640, 3457, 3820, 28, 3615, 3496, 32, 3378, 3623, 
32, 3414, 3625, 3352, 33, 3370, 3515, 27, 3448, 3396, 
32, 3379, 3504, 3867, 23, 3608, 3447, 32, 3788, 3559, 
31, 4178, 3712, 3411, 27, 5311, 4377, 46, 4905, 3936, 
32, 3426, 3714, 3585, 25, 3418, 3769, 28, 3822, 3351, 
32, 3614, 3593, 3474, 24, 3437, 3635, 30, 3385, 3580, 
32, 3468, 3646, 3557, 24, 3375, 3540, 25, 3641, 3362, 
31, 3958, 3969, 3848, 43, 3987, 3851, 35, 3382, 3539, 
32, 3801, 3431, 4012, 45, 3644, 3584, 34, 3377, 3553, 
36, 4349, 4961, 4493, 43, 3889, 3931, 42, 3799, 4162, 
32, 3460, 3489, 3372, 28, 3698, 3506, 27, 3338, 3472, 
34, 3622, 3445, 3751, 22, 3463, 3365, 30, 3554, 3566, 
34, 3653, 3492, 3540, 24, 3364, 3736, 31, 3471, 3366, 
31, 3451, 3769, 3850, 27, 3491, 3440, 27, 3714, 3636, 
31, 3634, 3374, 4077, 46, 4717, 6006, 50, 3388, 3671, 
32, 3760, 3475, 3546, 27, 3901, 3384, 29, 3365, 3651, 
31, 3590, 3755, 3363, 27, 3395, 3699, 42, 3472, 3433, 
32, 3393, 3495, 3578, 23, 3382, 3590, 32, 3934, 3503, 
32, 3612, 3924, 3442, 23, 3582, 3580, 27, 3400, 3526, 
43, 3473, 3487, 3763, 29, 3395, 3639, 27, 3574, 3410, 
47, 4863, 4409, 4512, 41, 3497, 3803, 55, 3678, 3613, 
32, 3583, 3499, 3461, 28, 3528, 3609, 28, 3540, 3405, 
32, 3513, 3470, 3523, 23, 3530, 3365, 25, 3527, 3756, 
31, 3555, 3435, 3500, 23, 3533, 3441, 25, 3505, 3605, 
33, 3395, 3712, 3536, 27, 3357, 3603, 29, 3668, 3356, 
33, 3618, 3361, 3617, 26, 3693, 3437, 32, 3639, 3624, 
34, 4461, 3828, 4516, 41, 4056, 3602, 58, 3743, 3328, 
32, 3433, 3418, 3566, 23, 3383, 3421, 24, 3665, 3486, 
31, 3674, 3345, 3438, 23, 3585, 3395, 32, 3347, 3719, 
32, 3364, 3608, 3326, 23, 3374, 3693, 31, 3594, 3369, 
31, 3462, 3453, 3585, 24, 3446, 3346, 25, 3582, 3619, 
32, 3758, 3613, 3349, 24, 3673, 3720, 28, 5143, 6672, 
44, 3524, 3747, 3353, 28, 3482, 3612, 27, 3647, 3369, 
30, 3526, 3576, 3598, 28, 3485, 3377, 26, 3470, 3621, 
32, 3628, 3645, 3341, 27, 3423, 3645, 26, 3537, 3396, 
32, 3396, 3671, 3625, 23, 3367, 3548, 27, 4005, 3641, 
31, 3852, 3734, 3557, 24, 3704, 3716, 27, 3650, 4698, 
45, 3833, 3857, 3532, 28, 3541, 3767, 26, 3712, 3684, 
30, 3787, 3701, 3634, 31, 3965, 3824, 30, 3494, 3554, 
32, 3609, 3613, 3831, 29, 3579, 3566, 30, 3556, 3740, 
34, 3547, 3627, 3461, 25, 3765, 3937, 37, 4031, 3652, 
32, 3866, 3636, 3499, 24, 3684, 3729, 28, 3564, 3501, 
47, 4745, 3777, 4355, 47, 4029, 3523, 34, 3522, 3688, 
33, 3444, 3528, 3634, 33, 4161, 3689, 29, 3480, 3518, 
33, 3607, 3990, 3473, 29, 3411, 3832, 33, 3586, 3417, 
33, 4263, 3507, 3458, 27, 3692, 3773, 31, 3347, 3473, 
32, 3399, 3603, 3516, 24, 3352, 3880, 29, 3685, 3360, 
32, 3787, 3359, 3502, 24, 3701, 3385, 30, 3430, 3859, 
